gender_M,gender_F,user_id,zip_code,occupation_0,occupation_1,occupation_2,occupation_3,occupation_4,occupation_5,occupation_6,occupation_7,occupation_8,occupation_9,occupation_10,occupation_11,occupation_12,occupation_13,occupation_14,occupation_15,occupation_16,occupation_17,occupation_18,occupation_19,occupation_20,age_1,age_18,age_25,age_35,age_45,age_50,age_56,user_avg_rating_Action,user_avg_rating_Adventure,user_avg_rating_Animation,user_avg_rating_Children,user_avg_rating_Comedy,user_avg_rating_Crime,user_avg_rating_Documentary,user_avg_rating_Drama,user_avg_rating_Fantasy,user_avg_rating_Film-Noir,user_avg_rating_Horror,user_avg_rating_Musical,user_avg_rating_Mystery,user_avg_rating_Romance,user_avg_rating_Sci-Fi,user_avg_rating_Thriller,user_avg_rating_War,user_avg_rating_Western
0,1,1,48067,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.9908943128549716,3.800851726528544,4.111027246485976,4.249973887097498,4.141925549656974,2.7952231523511912,0.0,4.428556495361106,3.3388044471136538,0.0,0.0,4.284750568610662,0.0,3.566479684359927,3.6170381510397913,3.0605707431875158,3.494028940438989,0.0
1,0,2,70072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3.499999999999991,3.736800269504009,0.0,0.0,3.5599989109877392,3.5806580675199835,0.0,3.8987341772151898,1.3535650917179205,1.804753455623894,2.0964173642633934,0.0,2.782337039261378,3.7083312663440475,3.588101918268251,3.483870938622383,3.7328726033980764,3.6170381510397913
1,0,3,55117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3.9565177207624407,3.999998776390718,3.3388044471136538,3.3388044471136538,3.7666666093004095,0.0,0.0,3.96708101180392,3.14462604639509,0.0,2.225869631409102,1.804753455623894,1.3535650917179205,3.6108091402021167,3.7285923972853787,3.6108091402021167,2.7952231523511912,4.539155961912635
1,0,4,02460,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.157848187194602,3.7285923972853787,0.0,1.804753455623894,0.0,2.2559418195298675,0.0,4.052817823136281,3.14462604639509,0.0,3.6170381510397913,0.0,0.0,2.7952231523511912,3.5394966010929325,3.1824871634870564,2.782337039261378,3.14462604639509
1,0,5,55455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2.612903203966787,2.9864502571721623,3.63712818684235,3.7285923972853787,3.4107142857142767,3.285703206235659,3.566479684359927,3.0961538461538463,0.0,3.3388044471136538,2.793059493905334,2.782337039261378,3.099282040471812,3.099999952787063,3.0662882099341346,2.846153845958067,3.404366971434476,1.804753455623894
0,1,6,55117,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.9945585278498084,3.719138448566175,4.203152213797858,3.8747375511460977,3.7499999827980686,2.0964173642633934,0.0,3.727265829577354,2.0964173642633934,0.0,0.0,4.315741156328574,0.0,3.9999999944734697,2.4458202583072923,3.0605707431875158,3.800851726528544,3.595167166947302
1,0,7,06810,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.31034470797055,4.586937419898282,0.0,0.0,3.6170381510397913,2.7952231523511912,0.0,3.96708101180392,0.0,0.0,2.2559418195298675,0.0,1.804753455623894,3.3388044471136538,4.289341365640334,4.599432314901201,4.319089721875291,0.0
1,0,8,11413,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.027777776101659,3.871324407445395,3.864448698519997,2.50410333533524,3.8888095574867343,3.998361060084081,0.0,3.814814814814815,0.0,0.0,2.2559418195298675,1.804753455623894,3.1824871634870564,4.066666604731416,4.459710413170706,4.034482646660434,4.189589240858002,1.804753455623894
1,0,9,61614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3.499978495256763,3.3771580223297906,4.092542945013703,3.9908943128549716,3.7407403960838206,3.7497460172381594,2.4458202583072923,3.888888888888856,1.3535650917179205,1.804753455623894,0.902376727811947,0.0,1.804753455623894,3.5554830239878714,3.871324407445395,3.629629295210044,4.080732610315164,2.2559418195298675
0,1,10,95370,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.9135802469135803,4.114285714285714,4.3030302921974295,4.109375,4.136612021857924,3.5995557247052883,2.7952231523511912,4.181034482758621,4.315789473143274,3.1824871634870564,3.9999552180606295,4.4324324314201435,3.595167166947302,4.373134328358209,4.183098591549296,4.222221833203521,3.833331196670251,3.8431097301850476
